model_key,sample_id,sample_group,image_path,true_label,predicted_label,top_fraction,predicted_true_cam_iou
resnet50_full_finetune,sample_29,consensus_difficult,test/020/2719934_33eebbd4-e793-4137-ab05-b9b6db58af47.jpg,20,133,0.2,0.5244171033644718
resnet50_full_finetune,sample_30,consensus_difficult,test/322/2731272_d07811e7-53a9-4ebe-91d9-f3335f6f560d.jpg,322,136,0.2,0.13600090554077762
convnext_full_finetune,sample_11,confusable_error,test/455/2723789_7beb8135-0a4e-4822-ab0c-c9253df54396.jpg,455,456,0.2,0.2402372713791399
convnext_full_finetune,sample_12,confusable_error,test/455/2785131_73404c39-fed5-4692-a964-dbdd9b8e1981.jpg,455,456,0.2,0.1802199094490504
convnext_full_finetune,sample_13,confusable_error,test/122/2769608_8a4061c6-c97d-4029-b140-a02b0257cedf.jpg,122,121,0.2,0.7258813413585554
convnext_full_finetune,sample_14,confusable_error,test/122/2761891_3b5a30f6-dc3e-4b12-a8a1-89e756275a99.jpg,122,121,0.2,0.5692283636932218
convnext_full_finetune,sample_15,confusable_error,test/203/2736545_ad8bd1c4-de0d-4a3f-96f9-79616b12335d.jpg,203,202,0.2,0.4805635465073394
convnext_full_finetune,sample_16,confusable_error,test/335/2761282_7d64f2f7-cc02-408a-8cda-a7595ca8d4cc.jpg,335,333,0.2,0.5104221536609226
convnext_full_finetune,sample_17,confusable_error,test/139/2758817_8e34db25-e482-4763-832c-2bb1e00ba746.jpg,139,140,0.2,0.6915557053767065
convnext_full_finetune,sample_18,confusable_error,test/335/2761654_59379efb-ca49-478d-975c-fff93f3f0fcf.jpg,335,333,0.2,0.6472712351251538
convnext_full_finetune,sample_19,confusable_error,test/203/2752018_dbebe97e-7bfa-4391-a33f-b4640aadc719.jpg,203,202,0.2,0.43936894944424526
convnext_full_finetune,sample_21,consensus_difficult,test/166/2732378_f08aebf2-10c1-4bab-94f8-4bc2c7770a31.jpg,166,222,0.2,0.1373526745240254
convnext_full_finetune,sample_22,consensus_difficult,test/389/2734196_899d7a03-966e-4ad9-8e56-a0f7da4a7e64.jpg,389,323,0.2,0.36442118142886276
convnext_full_finetune,sample_23,consensus_difficult,test/381/2718365_976a8e1c-35b7-4aa5-aacb-50495ded9078.jpg,381,478,0.2,0.20842865743527994
convnext_full_finetune,sample_24,consensus_difficult,test/184/2687534_d31397b7-bac3-4524-bc11-1d7d2c0ca7ad.jpg,184,79,0.2,0.49090098789274306
convnext_full_finetune,sample_25,consensus_difficult,test/193/2716562_fec115c3-cced-4be1-b6f6-aa8684b4976e.jpg,193,227,0.2,0.06071975902341067
convnext_full_finetune,sample_26,consensus_difficult,test/039/2753388_86b35091-7dfa-4c36-9b78-8583ceac3421.jpg,39,50,0.2,0.4872554831061055
convnext_full_finetune,sample_27,consensus_difficult,test/256/2733011_568aaf96-6d06-4f0e-843e-b94a458995bf.jpg,256,259,0.2,0.13266745668980306
convnext_full_finetune,sample_28,consensus_difficult,test/178/2697466_171420fb-5b5f-4b5c-a93b-cfcaadfb5f0a.jpg,178,241,0.2,0.2099584061727651
convnext_full_finetune,sample_29,consensus_difficult,test/020/2719934_33eebbd4-e793-4137-ab05-b9b6db58af47.jpg,20,135,0.2,0.7364823946708193
convnext_full_finetune,sample_30,consensus_difficult,test/322/2731272_d07811e7-53a9-4ebe-91d9-f3335f6f560d.jpg,322,394,0.2,0.5535603715170279
resnet50_scratch,sample_02,strong_model_consensus_correct,test/398/2737429_b24d5ce4-1e94-4bbb-aabc-b1f292b9761b.jpg,398,381,0.2,0.6836101325280993
resnet50_scratch,sample_05,strong_model_consensus_correct,test/111/2709151_72734e97-6c71-48a1-a2fc-d477b568e1a2.jpg,111,56,0.2,0.198900967626329
resnet50_scratch,sample_06,strong_model_consensus_correct,test/485/2749752_e1cfd374-2b2d-45ae-b686-2545801190b7.jpg,485,323,0.2,0.08555976203353163
resnet50_scratch,sample_10,strong_model_consensus_correct,test/367/2692017_393de909-7a55-4ef2-af16-deea1b8f3838.jpg,367,498,0.2,0.10279654964012966
resnet50_scratch,sample_11,confusable_error,test/455/2723789_7beb8135-0a4e-4822-ab0c-c9253df54396.jpg,455,342,0.2,0.14013064470320932
resnet50_scratch,sample_12,confusable_error,test/455/2785131_73404c39-fed5-4692-a964-dbdd9b8e1981.jpg,455,456,0.2,0.3335104969439277
resnet50_scratch,sample_13,confusable_error,test/122/2769608_8a4061c6-c97d-4029-b140-a02b0257cedf.jpg,122,475,0.2,0.6493015612161052
resnet50_scratch,sample_15,confusable_error,test/203/2736545_ad8bd1c4-de0d-4a3f-96f9-79616b12335d.jpg,203,202,0.2,0.3107816887611833
resnet50_scratch,sample_16,confusable_error,test/335/2761282_7d64f2f7-cc02-408a-8cda-a7595ca8d4cc.jpg,335,334,0.2,0.30422352176738143
resnet50_scratch,sample_18,confusable_error,test/335/2761654_59379efb-ca49-478d-975c-fff93f3f0fcf.jpg,335,334,0.2,0.37394756656855366
resnet50_scratch,sample_19,confusable_error,test/203/2752018_dbebe97e-7bfa-4391-a33f-b4640aadc719.jpg,203,207,0.2,0.4922310608876663
resnet50_scratch,sample_21,consensus_difficult,test/166/2732378_f08aebf2-10c1-4bab-94f8-4bc2c7770a31.jpg,166,170,0.2,0.08844422753646765
resnet50_scratch,sample_27,consensus_difficult,test/256/2733011_568aaf96-6d06-4f0e-843e-b94a458995bf.jpg,256,492,0.2,0.044654939106901215
resnet50_scratch,sample_29,consensus_difficult,test/020/2719934_33eebbd4-e793-4137-ab05-b9b6db58af47.jpg,20,269,0.2,0.32104778201921813
resnet50_scratch,sample_30,consensus_difficult,test/322/2731272_d07811e7-53a9-4ebe-91d9-f3335f6f560d.jpg,322,484,0.2,0.11183736775051238
resnet50_fgvc_pmg_isqrtcov,sample_11,confusable_error,test/455/2723789_7beb8135-0a4e-4822-ab0c-c9253df54396.jpg,455,456,0.2,0.3484614350980919
resnet50_fgvc_pmg_isqrtcov,sample_12,confusable_error,test/455/2785131_73404c39-fed5-4692-a964-dbdd9b8e1981.jpg,455,456,0.2,0.26328874901652244
resnet50_fgvc_pmg_isqrtcov,sample_13,confusable_error,test/122/2769608_8a4061c6-c97d-4029-b140-a02b0257cedf.jpg,122,121,0.2,0.8903225806451613
resnet50_fgvc_pmg_isqrtcov,sample_14,confusable_error,test/122/2761891_3b5a30f6-dc3e-4b12-a8a1-89e756275a99.jpg,122,121,0.2,0.8155954588629065
resnet50_fgvc_pmg_isqrtcov,sample_15,confusable_error,test/203/2736545_ad8bd1c4-de0d-4a3f-96f9-79616b12335d.jpg,203,202,0.2,0.23436707206445365
resnet50_fgvc_pmg_isqrtcov,sample_16,confusable_error,test/335/2761282_7d64f2f7-cc02-408a-8cda-a7595ca8d4cc.jpg,335,333,0.2,0.25079068318142866
resnet50_fgvc_pmg_isqrtcov,sample_17,confusable_error,test/139/2758817_8e34db25-e482-4763-832c-2bb1e00ba746.jpg,139,140,0.2,0.4607085023926057
resnet50_fgvc_pmg_isqrtcov,sample_18,confusable_error,test/335/2761654_59379efb-ca49-478d-975c-fff93f3f0fcf.jpg,335,333,0.2,0.5753615509899728
resnet50_fgvc_pmg_isqrtcov,sample_19,confusable_error,test/203/2752018_dbebe97e-7bfa-4391-a33f-b4640aadc719.jpg,203,202,0.2,0.1139756896264639
resnet50_fgvc_pmg_isqrtcov,sample_20,confusable_error,test/139/2720439_c4e5a066-5637-4baa-9329-7a8c7e58ba15.jpg,139,140,0.2,0.5918229765634294
resnet50_fgvc_pmg_isqrtcov,sample_21,consensus_difficult,test/166/2732378_f08aebf2-10c1-4bab-94f8-4bc2c7770a31.jpg,166,69,0.2,0.17157241882524626
resnet50_fgvc_pmg_isqrtcov,sample_22,consensus_difficult,test/389/2734196_899d7a03-966e-4ad9-8e56-a0f7da4a7e64.jpg,389,156,0.2,0.09207895202209133
resnet50_fgvc_pmg_isqrtcov,sample_23,consensus_difficult,test/381/2718365_976a8e1c-35b7-4aa5-aacb-50495ded9078.jpg,381,287,0.2,0.2867148558331864
resnet50_fgvc_pmg_isqrtcov,sample_24,consensus_difficult,test/184/2687534_d31397b7-bac3-4524-bc11-1d7d2c0ca7ad.jpg,184,405,0.2,0.2621566808684579
resnet50_fgvc_pmg_isqrtcov,sample_25,consensus_difficult,test/193/2716562_fec115c3-cced-4be1-b6f6-aa8684b4976e.jpg,193,248,0.2,0.26721702208261644
resnet50_fgvc_pmg_isqrtcov,sample_26,consensus_difficult,test/039/2753388_86b35091-7dfa-4c36-9b78-8583ceac3421.jpg,39,5,0.2,0.302813930089903
resnet50_fgvc_pmg_isqrtcov,sample_27,consensus_difficult,test/256/2733011_568aaf96-6d06-4f0e-843e-b94a458995bf.jpg,256,490,0.2,0.22695317275950605
resnet50_fgvc_pmg_isqrtcov,sample_28,consensus_difficult,test/178/2697466_171420fb-5b5f-4b5c-a93b-cfcaadfb5f0a.jpg,178,171,0.2,0.39247927290387485
resnet50_fgvc_pmg_isqrtcov,sample_29,consensus_difficult,test/020/2719934_33eebbd4-e793-4137-ab05-b9b6db58af47.jpg,20,36,0.2,0.13000028150775553
resnet50_fgvc_pmg_isqrtcov,sample_30,consensus_difficult,test/322/2731272_d07811e7-53a9-4ebe-91d9-f3335f6f560d.jpg,322,94,0.2,0.3085047429670437
